tick,timestamp,gas_read_ms,temp_read_ms,fusion_ms,vision_mock_ms,actuation_ms,mqtt_publish_ms,total_loop_ms,budget_ok
1,13:35:00:036,0.047,0.007,0.106,0.003,0.071,0.06,0.3,True
2,13:35:00:138,0.039,0.003,0.149,0.001,0.062,0.004,0.262,True
3,13:35:00:240,0.021,0.002,0.089,0.001,0.051,0.002,0.168,True
4,13:35:00:341,0.053,0.004,0.206,0.002,0.073,0.004,0.345,True
5,13:35:00:441,0.035,0.002,0.138,0.002,0.075,0.004,0.259,True
6,13:35:00:541,0.023,0.001,0.1,0.001,0.061,0.003,0.191,True
7,13:35:00:641,0.038,0.003,0.143,0.001,0.067,0.004,0.257,True
8,13:35:00:741,0.023,0.002,0.096,0.001,0.062,0.003,0.188,True
9,13:35:00:841,0.02,0.002,0.087,0.001,0.049,0.002,0.162,True
10,13:35:00:941,0.018,0.001,0.083,0.001,0.056,0.002,0.234,True
11,13:35:01:041,0.062,0.006,0.257,0.002,0.063,0.005,0.4,True
12,13:35:01:141,0.05,0.003,0.147,0.001,0.066,0.004,0.274,True
13,13:35:01:241,0.026,0.002,0.097,0.001,0.063,0.003,0.193,True
14,13:35:01:341,0.02,0.002,0.085,0.001,0.059,0.002,0.17,True
15,13:35:01:441,0.017,0.001,0.083,0.001,0.06,0.002,0.166,True
16,13:35:01:541,0.018,0.002,0.086,0.001,0.057,0.002,0.167,True
17,13:35:01:641,0.028,0.002,0.112,0.001,0.061,0.003,0.209,True
18,13:35:01:741,0.021,0.001,0.092,0.001,0.055,0.002,0.174,True
19,13:35:01:841,0.019,0.002,0.086,0.001,0.059,0.002,0.171,True
20,13:35:01:942,0.018,0.001,0.086,0.001,0.06,0.002,0.987,True
21,13:35:02:042,0.046,0.003,0.2,0.002,0.083,0.004,0.341,True
22,13:35:02:142,0.036,0.002,0.149,0.002,0.091,0.003,0.285,True
23,13:35:02:242,0.023,0.002,0.109,0.001,0.079,0.003,0.219,True
24,13:35:02:342,0.022,0.001,0.098,0.001,0.077,0.003,0.204,True
25,13:35:02:474,0.02,0.001,10.209,0.001,15.27,0.003,25.507,True
26,13:35:02:596,0.046,0.002,30.568,0.002,15.266,0.003,45.889,True
27,13:35:02:686,0.033,0.001,30.469,0.001,3.18,0.005,33.69,True
28,13:35:02:752,0.033,0.002,0.125,0.001,0.043,0.003,0.209,True
29,13:35:02:852,0.032,0.001,0.128,0.001,0.068,0.003,0.236,True
30,13:35:02:952,0.018,0.001,0.084,0.001,0.06,0.002,0.241,True
31,13:35:03:052,0.032,0.003,0.128,0.001,0.04,0.003,0.208,True
32,13:35:03:152,0.024,0.002,0.091,0.001,0.035,0.002,0.156,True
33,13:35:03:253,0.027,0.002,0.117,0.001,0.06,0.003,0.212,True
34,13:35:03:353,0.017,0.001,0.1,0.001,0.056,0.002,0.178,True
35,13:35:03:453,0.021,0.001,0.076,0.001,0.054,0.002,0.156,True
36,13:35:03:553,0.042,0.004,0.202,0.002,0.102,0.004,0.358,True
37,13:35:03:653,0.026,0.001,0.087,0.001,0.062,0.002,0.18,True
38,13:35:03:753,0.016,0.001,0.08,0.001,0.057,0.002,0.158,True
39,13:35:03:853,0.022,0.001,0.074,0.001,0.056,0.002,0.157,True
40,13:35:03:953,0.022,0.001,0.098,0.001,0.057,0.002,0.252,True
41,13:35:04:053,0.037,0.002,0.161,0.002,0.07,0.003,0.277,True
42,13:35:04:153,0.022,0.001,0.115,0.001,0.059,0.003,0.202,True
43,13:35:04:253,0.023,0.001,0.079,0.001,0.063,0.002,0.17,True
44,13:35:04:353,0.022,0.001,0.077,0.001,0.054,0.002,0.158,True
45,13:35:04:453,0.025,0.001,0.083,0.001,0.049,0.002,0.161,True
46,13:35:04:554,0.045,0.003,0.207,0.008,0.068,0.004,0.339,True
47,13:35:04:653,0.023,0.002,0.124,0.001,0.07,0.003,0.224,True
48,13:35:04:753,0.027,0.001,0.115,0.001,0.064,0.003,0.212,True
49,13:35:04:911,0.026,0.008,30.449,0.001,25.374,0.003,55.862,True
50,13:35:04:998,0.017,0.001,15.255,0.001,15.244,0.002,40.766,True
51,13:35:05:058,0.043,0.002,0.178,0.002,0.067,0.004,0.298,True
52,13:35:05:158,0.037,0.002,0.186,0.002,0.071,0.003,0.304,True
53,13:35:05:258,0.031,0.001,0.123,0.001,0.07,0.003,0.232,True
54,13:35:05:358,0.029,0.001,0.109,0.001,0.068,0.002,0.212,True
55,13:35:05:458,0.026,0.001,0.107,0.001,0.062,0.002,0.2,True
56,13:35:05:558,0.045,0.004,0.231,0.002,0.114,0.005,0.403,True
57,13:35:05:658,0.03,0.001,0.118,0.001,0.065,0.003,0.22,True
58,13:35:05:758,0.027,0.001,0.107,0.001,0.061,0.002,0.201,True
59,13:35:05:858,0.018,0.001,0.08,0.001,0.059,0.002,0.161,True
60,13:35:05:958,0.023,0.001,0.076,0.001,0.061,0.002,0.222,True
61,13:35:06:058,0.034,0.003,0.161,0.001,0.064,0.003,0.267,True
62,13:35:06:158,0.03,0.002,0.126,0.001,0.072,0.003,0.235,True
63,13:35:06:258,0.027,0.001,0.114,0.001,0.062,0.003,0.21,True
64,13:35:06:358,0.018,0.001,0.11,0.001,0.051,0.002,0.185,True
65,13:35:06:458,0.024,0.001,0.125,0.001,0.056,0.002,0.211,True
66,13:35:06:559,0.047,0.004,0.223,0.001,0.083,0.003,0.363,True
67,13:35:06:659,0.033,0.002,0.14,0.001,0.075,0.003,0.256,True
68,13:35:06:759,0.035,0.001,0.114,0.001,0.064,0.002,0.22,True
69,13:35:06:859,0.026,0.001,0.091,0.001,0.048,0.002,0.177,True
70,13:35:06:959,0.017,0.001,0.094,0.001,0.057,0.002,0.253,True
71,13:35:07:059,0.036,0.002,0.178,0.002,0.075,0.003,0.298,True
72,13:35:07:179,0.023,0.001,10.213,0.001,10.22,0.003,20.463,True
73,13:35:07:306,0.033,0.001,20.337,0.001,25.333,0.003,45.71,True
74,13:35:07:386,0.024,0.001,20.315,0.001,3.318,0.002,23.663,True
75,13:35:07:463,0.016,0.001,0.074,0.001,0.059,0.002,0.154,True
76,13:35:07:563,0.028,0.002,0.152,0.001,0.081,0.003,0.269,True
77,13:35:07:663,0.031,0.002,0.146,0.001,0.083,0.003,0.267,True
78,13:35:07:763,0.029,0.001,0.101,0.001,0.08,0.003,0.216,True
79,13:35:07:863,0.026,0.001,0.094,0.001,0.052,0.003,0.179,True
80,13:35:07:963,0.026,0.001,0.093,0.001,0.049,0.003,0.265,True
81,13:35:08:063,0.042,0.003,0.202,0.001,0.11,0.003,0.363,True
82,13:35:08:163,0.031,0.002,0.125,0.001,0.101,0.003,0.265,True
83,13:35:08:263,0.03,0.001,0.1,0.001,0.084,0.003,0.221,True
84,13:35:08:363,0.02,0.001,0.093,0.001,0.081,0.003,0.2,True
85,13:35:08:463,0.034,0.001,0.103,0.001,0.082,0.003,0.226,True
86,13:35:08:563,0.04,0.003,0.175,0.002,0.12,0.004,0.345,True
87,13:35:08:663,0.026,0.002,0.145,0.001,0.066,0.003,0.252,True
88,13:35:08:763,0.03,0.001,0.13,0.001,0.062,0.003,0.228,True
89,13:35:08:864,0.021,0.001,0.1,0.001,0.094,0.003,0.221,True
90,13:35:08:964,0.027,0.001,0.122,0.001,0.068,0.009,0.315,True
91,13:35:09:064,0.036,0.002,0.172,0.001,0.076,0.003,0.293,True
92,13:35:09:164,0.027,0.001,0.137,0.002,0.095,0.003,0.267,True
93,13:35:09:264,0.039,0.001,0.131,0.001,0.07,0.002,0.247,True
94,13:35:09:364,0.028,0.001,0.096,0.001,0.076,0.003,0.207,True
95,13:35:09:464,0.03,0.001,0.098,0.001,0.048,0.002,0.181,True
96,13:35:09:604,0.035,0.003,10.277,0.001,25.383,0.004,35.705,True
97,13:35:09:701,0.022,0.002,25.402,0.002,5.118,0.003,30.55,True
98,13:35:09:771,0.019,0.001,0.097,0.001,0.058,0.002,0.179,True
99,13:35:09:871,0.015,0.001,0.083,0.001,0.059,0.002,0.162,True
100,13:35:09:971,0.023,0.001,0.084,0.001,0.046,0.002,0.221,True
101,13:35:10:071,0.039,0.003,0.151,0.001,0.083,0.189,0.469,True
102,13:35:10:171,0.04,0.002,0.14,0.001,0.062,0.003,0.25,True
103,13:35:10:271,0.028,0.001,0.09,0.001,0.061,0.002,0.185,True
104,13:35:10:371,0.025,0.001,0.111,0.001,0.064,0.002,0.207,True
105,13:35:10:471,0.023,0.001,0.081,0.001,0.061,0.002,0.17,True
106,13:35:10:571,0.028,0.002,0.175,0.001,0.07,0.003,0.281,True
107,13:35:10:671,0.021,0.001,0.117,0.001,0.075,0.003,0.22,True
108,13:35:10:771,0.023,0.001,0.096,0.001,0.062,0.002,0.186,True
109,13:35:10:871,0.021,0.001,0.073,0.001,0.039,0.001,0.137,True
110,13:35:10:972,0.013,0.001,0.074,0.001,0.059,0.002,0.203,True
111,13:35:11:072,0.036,0.002,0.152,0.001,0.059,0.003,0.256,True
112,13:35:11:172,0.028,0.002,0.115,0.001,0.064,0.003,0.215,True
113,13:35:11:272,0.018,0.001,0.083,0.001,0.059,0.002,0.165,True
114,13:35:11:372,0.021,0.001,0.077,0.001,0.058,0.002,0.161,True
115,13:35:11:472,0.014,0.001,0.082,0.001,0.058,0.002,0.157,True
116,13:35:11:572,0.034,0.002,0.138,0.001,0.088,0.003,0.27,True
117,13:35:11:672,0.023,0.002,0.1,0.001,0.065,0.003,0.196,True
